Source: ACS 5-Year Estimates 5-Year Estimates – Public Use Microdata Sample 2018,,,,,,,,,,,,,,,,,,,,,,
Weight used: PWGTP,,,,,,,,,,,,,,,,,,,,,,
"Universe: selected geographies: Northeast Region, Midwest Region, South Region, West Region, Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington",,,,,,,,,,,,,,,,,,,,,,
,Employment status recode (ESR),,,,,,,,,,,,,,,,,,,,,
,,N/A (less than 16 years old),,,"Civilian employed, at work",,,"Civilian employed, with a job but not at work",,,Unemployed,,,"Armed Forces, At Work",,,"Armed Forces, With a Job But Not At Work",,,Not in Labor Force,,
,,Sex (SEX),,,Sex (SEX),,,Sex (SEX),,,Sex (SEX),,,Sex (SEX),,,Sex (SEX),,,Sex (SEX),,
Selected Geographies,Total,Total Sex (SEX),Male,Female,Total Sex (SEX),Male,Female,Total Sex (SEX),Male,Female,Total Sex (SEX),Male,Female,Total Sex (SEX),Male,Female,Total Sex (SEX),Male,Female,Total Sex (SEX),Male,Female
 -> Total,637616778,128659741,65753808,62905933,294898098,155592466,139305632,6303421,2727398,3576023,18762511,10013052,8749459,2028297,1744157,284140,17247,14024,3223,186947463,78044125,108903338
Northeast Region,56061200,10366506,5302883,5063623,26970098,13979526,12990572,612870,256434,356436,1695752,921499,774253,56620,49768,6852,1069,918,151,16358285,6811685,9546600
Midwest Region,68016629,13781392,7055247,6726145,32536090,17026045,15510045,629959,271187,358772,1884510,1030828,853682,89337,76703,12634,942,669,273,19094399,8096667,10997732
South Region,122289782,25133178,12831746,12301432,54872795,28878229,25994566,1065264,458265,606999,3550913,1838516,1712397,551303,471157,80146,4888,3905,983,37111441,15464174,21647267
West Region,76535420,15844932,8096197,7748735,35035951,18942422,16093529,877142,392618,484524,2346992,1271407,1075585,320071,277166,42905,1783,1529,254,22108549,9174730,12933819
Alabama,4864680,968343,493698,474645,2030068,1060610,969458,37572,17045,20527,148178,76822,71356,12162,10500,1662,50,3,47,1668307,696253,972054
Alaska,738516,167811,86770,81041,341537,183725,157812,9642,4927,4715,27908,16922,10986,16537,14599,1938,24,24,0,175057,78834,96223
Arizona,6946685,1449793,738902,710891,2986709,1600164,1386545,55251,24601,30650,210373,113077,97296,18210,14954,3256,59,31,28,2226290,961412,1264878
Arkansas,2990671,626032,319511,306521,1271611,670046,601565,21384,9759,11625,75511,39831,35680,4417,3762,655,16,16,0,991700,425257,566443
California,39148760,8038868,4104414,3934454,17773139,9666150,8106989,529431,238794,290637,1311510,698178,613332,129401,112939,16462,881,849,32,11365530,4630837,6734693
Colorado,5531141,1122373,573745,548628,2785683,1495970,1289713,51382,23205,28177,139904,78012,61892,32993,28397,4596,22,22,0,1398784,580488,818296
Connecticut,3581504,657041,336951,320090,1769873,913358,856515,37779,15954,21825,125867,67294,58573,8285,7434,851,66,66,0,982593,406886,575707
Delaware,949495,179730,90865,88865,438682,223151,215531,9181,3355,5826,27653,14215,13438,2924,2601,323,0,0,0,291325,125142,166183
District of Columbia,684498,111050,56589,54461,362655,175597,187058,6125,2156,3969,29188,14028,15160,3373,2809,564,34,1,33,172073,73883,98190
Florida,20598139,3662825,1869272,1793553,9083559,4758612,4324947,168513,71466,97047,620707,321050,299657,54584,45887,8697,421,329,92,7007530,3003117,4004413
Georgia,10297484,2214525,1129018,1085507,4613412,2400379,2213033,100744,42486,58258,319636,156701,162935,46246,40882,5364,766,766,0,3002155,1242416,1759739
Hawaii,1422029,274586,140999,133587,658954,341476,317478,16973,7664,9309,29997,16384,13613,40796,35914,4882,231,182,49,400492,171412,229080
Idaho,1687809,388952,198546,190406,751372,409037,342335,15133,6849,8284,38251,22020,16231,3933,3095,838,0,0,0,490168,205994,284174
Illinois,12821497,2581855,1319194,1262661,6103411,3202116,2901295,118414,50681,67733,440058,236789,203269,16243,13894,2349,448,315,133,3561068,1473558,2087510
Indiana,6637426,1394487,713545,680942,3093952,1632257,1461695,60579,26557,34022,180192,94862,85330,3209,2871,338,73,18,55,1904934,797967,1106967
Iowa,3132499,648842,331347,317495,1577867,828420,749447,28802,13310,15492,65455,35992,29463,1638,1463,175,0,0,0,809895,344296,465599
Kansas,2908776,636217,324287,311930,1402474,745909,656565,23017,9942,13075,68342,37213,31129,16579,15359,1220,107,71,36,762040,316214,445826
Kentucky,4440204,897113,460850,436263,1912186,1004401,907785,43906,18150,25756,125982,68876,57106,13584,12411,1173,52,52,0,1447381,622472,824909
Louisiana,4663616,986359,501540,484819,1990164,1022943,967221,39359,17945,21414,149210,82231,66979,15918,14004,1914,71,41,30,1482535,641147,841388
Maine,1332813,222838,114130,108708,647614,328478,319136,15179,7734,7445,32075,19153,12922,1520,1424,96,2,2,0,413585,181556,232029
Maryland,6003435,1192069,607952,584117,2993836,1525923,1467913,57334,23147,34187,180050,91693,88357,28541,22694,5847,184,91,93,1551421,638480,912941
Massachusetts,6830211,1209223,618253,590970,3488066,1775680,1712386,73921,32041,41880,201875,110100,91775,4700,4115,585,18,18,0,1852408,774737,1077671
Michigan,9957488,1930944,988175,942769,4492143,2343760,2148383,97017,42595,54422,320047,177265,142782,4164,3350,814,0,0,0,3113173,1343170,1770003
Minnesota,5527358,1148578,587576,561002,2873922,1499630,1374292,54621,21881,32740,121481,71130,50351,2344,2142,202,0,0,0,1326412,568786,757626
Mississippi,2988762,636842,325524,311318,1202636,618839,583797,22933,9794,13139,107152,52520,54632,10681,8761,1920,214,99,115,1008304,435351,572953
Missouri,6090062,1223835,629442,594393,2836974,1468746,1368228,51456,21674,29782,156083,86066,70017,20434,16461,3973,159,110,49,1801121,767792,1033329
Montana,1041732,203082,105122,97960,495374,261764,233610,11485,5588,5897,22591,13095,9496,2852,2477,375,9,9,0,306339,136321,170018
Nebraska,1904760,421613,216411,205202,975121,516462,458659,18508,8204,10304,35604,18722,16882,5397,4474,923,0,0,0,448517,185874,262643
Nevada,2922849,598924,305180,293744,1337895,723465,614430,28013,11428,16585,102538,55271,47267,8073,6640,1433,25,25,0,847381,365449,481932
New Hampshire,1343604,228104,116784,111320,705150,368533,336617,18952,7973,10979,31666,18009,13657,1831,1723,108,49,49,0,357852,152505,205347
New Jersey,8881846,1740391,888848,851543,4301764,2274360,2027404,97034,39058,57976,278335,147713,130622,8998,7594,1404,119,101,18,2455205,979049,1476156
New Mexico,2092434,437009,221782,215227,870260,455927,414333,11488,5331,6157,67818,38717,29101,9417,7830,1587,155,155,0,696287,305628,390659
New York,19618453,3665032,1875325,1789707,9213750,4764674,4449076,221230,90523,130707,598958,322488,276470,22465,19990,2475,730,614,116,5896288,2446601,3449687
North Carolina,10155624,2029262,1037695,991567,4568027,2364950,2203077,95849,40952,54897,311649,155153,156496,88169,81074,7095,423,375,48,3062245,1265734,1796511
North Dakota,752201,156642,80469,76173,391413,213459,177954,8481,3990,4491,11573,5932,5641,6563,5834,729,0,0,0,177529,76130,101399
Ohio,11641879,2306886,1181230,1125656,5435599,2827074,2608525,115299,49557,65742,343512,186397,157115,7840,6510,1330,134,134,0,3432609,1453800,1978809
Oklahoma,3918137,853930,439136,414794,1732725,926270,806455,28741,14036,14705,98823,52822,46001,17455,14074,3381,24,24,0,1186439,496135,690304
Oregon,4081943,768158,392819,375339,1892161,1001029,891132,40851,16843,24008,122479,67600,54879,2663,2359,304,176,68,108,1255455,541698,713757
Pennsylvania,12791181,2357239,1205237,1152002,6010580,3127045,2883535,125697,53719,71978,378538,210239,168299,5223,4370,853,33,16,17,3913871,1662809,2251062
Rhode Island,1056611,183079,93319,89760,511429,263511,247918,15507,5975,9532,34572,18851,15721,3206,2741,465,52,52,0,308766,128766,180000
South Carolina,4955925,970078,494831,475247,2183843,1124194,1059649,42888,17865,25023,155103,79775,75328,30212,24637,5575,374,374,0,1573427,665148,908279
South Dakota,864289,191300,97641,93659,432524,229314,203210,9346,3784,5562,17441,10064,7377,2527,2279,248,11,11,0,211140,91902,119238
Tennessee,6651089,1330042,680598,649444,2980773,1560762,1420011,62774,26666,36108,193252,97017,96235,17692,15634,2058,100,46,54,2066456,862455,1204001
Texas,27885195,6488596,3310267,3178329,12747339,6962768,5784571,230765,100611,130154,738389,391995,346394,87127,73327,13800,1456,1206,250,7591523,3008170,4583353
Utah,3045350,820875,421384,399491,1427217,798749,628468,22388,9211,13177,59039,32669,26370,4212,3705,507,30,30,0,711589,266985,444604
Vermont,624977,103559,54036,49523,321872,163887,157985,7571,3457,4114,13866,7652,6214,392,377,15,0,0,0,177717,78776,98941
Virginia,8413774,1657291,845292,811999,4033641,2093027,1940614,81205,35627,45578,216141,111730,104411,117192,97214,19978,596,474,122,2307708,953868,1353840
Washington,7294336,1451510,743234,708276,3432208,1849643,1582565,78466,34784,43682,199772,110467,89305,48044,41778,6266,171,134,37,2084165,865609,1218556
